Special_Occasion,Date,No_of_Students_in_Hostel,No_of_Actual_Diners,Mess_No,New_Menu,Food_Prepared_By1,Food_Prepared_By2,Food_Prepared_By3,Meal_1,Meal_2,Meal_3,Type_Of_Meal
Sem-Break,23-09-2017,617,488,2,Yes,Z,L,X,YY,MM1,WW2,L
Sem-Break,23-09-2017,592,405,3,No,L,Z,Y,YY,ZZ1,LL2,L
Sem-Break,23-09-2017,657,536,0,No,Y,W,X,YY,MM1,WW2,D
Sem-Break,23-09-2017,547,409,1,No,Z,Z,X,ZZ,LL1,YY2,D
Sem-Break,23-09-2017,656,434,2,No,W,N,Y,YY,ZZ1,LL2,D
Sem-Break,23-09-2017,597,508,3,No,N,Z,X,ZZ,ZZ1,WW2,D
Regular,25-03-2017,544,588,0,No,L,O,Y,XX,LL1,MM2,B
Regular,25-03-2017,533,452,1,No,O,M,W,ZZ,WW1,XX2,B
Regular,25-03-2017,593,576,2,No,L,W,N,MM,MM1,XX2,B
Regular,25-03-2017,632,518,3,No,W,W,W,MM,MM1,YY2,B
Regular,25-03-2017,580,490,0,No,N,O,Z,ZZ,MM1,MM2,L
Regular,25-03-2017,691,571,1,No,W,N,W,LL,XX1,WW2,L
Regular,25-03-2017,676,509,2,No,M,Z,W,XX,LL1,MM2,L
Regular,25-03-2017,668,587,3,No,Z,Z,N,WW,ZZ1,YY2,L
Regular,25-03-2017,639,506,0,Yes,M,Y,M,ZZ,ZZ1,LL2,D
Regular,25-03-2017,688,476,1,No,Z,X,L,ZZ,YY1,ZZ2,D
Regular,25-03-2017,667,533,2,No,L,M,Y,XX,YY1,XX2,D
Regular,25-03-2017,673,409,3,No,N,N,M,XX,YY1,WW2,D
Regular,25-01-2018,584,447,0,No,O,X,L,MM,WW1,ZZ2,B
Regular,25-01-2018,664,434,1,No,Y,W,N,WW,MM1,WW2,B
Regular,25-01-2018,507,428,2,No,X,M,W,LL,XX1,ZZ2,B
Regular,25-01-2018,651,452,3,No,X,Y,Z,XX,MM1,XX2,B
Regular,25-01-2018,662,427,0,No,M,L,M,ZZ,LL1,MM2,L
Regular,25-01-2018,570,513,1,No,X,L,L,XX,ZZ1,WW2,L
Regular,25-01-2018,632,410,2,No,N,Z,L,MM,YY1,YY2,L
Regular,25-01-2018,548,521,3,No,Y,O,Y,ZZ,XX1,WW2,L
Regular,25-01-2018,602,496,0,No,X,X,O,YY,MM1,LL2,D
Regular,25-01-2018,556,489,1,No,O,W,M,MM,MM1,XX2,D
Regular,25-01-2018,672,543,2,No,L,W,M,MM,WW1,MM2,D
Regular,25-01-2018,585,550,3,No,N,Z,X,YY,XX1,ZZ2,D
Regular,01-07-2017,568,570,0,Yes,Y,N,N,ZZ,YY1,LL2,B
Regular,01-07-2017,550,585,1,No,W,O,X,ZZ,LL1,WW2,B
Regular,01-07-2017,691,523,2,No,L,X,X,MM,XX1,YY2,B
Regular,01-07-2017,645,422,3,No,Y,N,M,YY,YY1,LL2,B
Regular,01-07-2017,592,463,0,No,X,L,N,WW,YY1,LL2,L
Regular,01-07-2017,641,463,1,No,O,Z,W,XX,LL1,LL2,L
Regular,01-07-2017,534,430,2,No,Z,X,L,WW,LL1,MM2,L
Regular,01-07-2017,505,441,3,No,Y,W,W,WW,ZZ1,ZZ2,L
Regular,01-07-2017,552,473,0,No,X,W,L,ZZ,WW1,XX2,D
Regular,01-07-2017,632,546,1,No,X,M,Y,WW,XX1,LL2,D
Regular,01-07-2017,642,465,2,Yes,X,X,O,XX,XX1,XX2,D
Regular,01-07-2017,569,581,3,Yes,L,W,Z,XX,XX1,XX2,D
Regular,24-08-2017,527,566,0,Yes,Z,X,X,WW,ZZ1,WW2,B
Regular,24-08-2017,505,543,1,No,W,L,M,MM,MM1,MM2,B
Regular,24-08-2017,590,561,2,No,L,M,N,WW,XX1,MM2,B
Regular,24-08-2017,600,417,3,Yes,N,L,Z,LL,LL1,ZZ2,B
Regular,24-08-2017,663,590,0,No,Y,X,O,ZZ,YY1,XX2,L
Regular,24-08-2017,593,484,1,Yes,Y,M,L,ZZ,LL1,MM2,L
Regular,24-08-2017,615,597,2,No,L,Z,Z,LL,ZZ1,LL2,L
Regular,24-08-2017,611,531,3,Yes,X,L,X,WW,LL1,XX2,L
Regular,24-08-2017,684,470,0,No,Y,Y,M,MM,XX1,LL2,D
Regular,24-08-2017,643,534,1,No,Y,O,W,XX,ZZ1,XX2,D
Regular,24-08-2017,587,488,2,No,W,Y,M,XX,XX1,MM2,D
Regular,24-08-2017,588,428,3,No,W,W,L,LL,YY1,XX2,D
Sem-Break,26-11-2017,602,451,0,Yes,M,N,M,XX,LL1,LL2,B
Sem-Break,26-11-2017,595,559,1,Yes,O,Y,N,LL,XX1,XX2,B
Sem-Break,26-11-2017,551,482,2,No,M,X,N,WW,MM1,MM2,B
Sem-Break,26-11-2017,670,488,3,No,M,W,X,XX,YY1,YY2,B
Sem-Break,26-11-2017,548,594,0,No,O,W,M,YY,YY1,MM2,L
Sem-Break,26-11-2017,585,451,1,No,Z,N,X,XX,LL1,ZZ2,L
Sem-Break,26-11-2017,638,539,2,Yes,L,X,M,WW,MM1,YY2,L
Sem-Break,26-11-2017,641,513,3,No,Z,Y,L,YY,MM1,MM2,L
Sem-Break,26-11-2017,639,446,0,No,N,M,W,WW,YY1,XX2,D
Sem-Break,26-11-2017,629,581,1,No,O,W,M,MM,ZZ1,YY2,D
Sem-Break,26-11-2017,558,468,2,Yes,X,L,Y,ZZ,XX1,XX2,D
Sem-Break,26-11-2017,506,411,3,No,N,M,N,LL,LL1,YY2,D
Sem-Break,09-03-2018,571,499,0,No,Y,X,Y,LL,ZZ1,WW2,B
Sem-Break,09-03-2018,634,434,1,No,O,W,M,XX,XX1,YY2,B
Sem-Break,09-03-2018,696,501,2,No,N,N,Y,YY,MM1,MM2,B
Sem-Break,09-03-2018,579,524,3,No,L,X,Y,WW,YY1,MM2,B
Sem-Break,09-03-2018,543,544,0,Yes,X,Z,X,WW,WW1,WW2,L
Sem-Break,09-03-2018,619,461,1,No,M,Z,Z,XX,MM1,XX2,L
Sem-Break,09-03-2018,601,412,2,No,X,Y,L,YY,LL1,LL2,L
Sem-Break,09-03-2018,570,566,3,No,W,L,X,MM,WW1,LL2,L
Sem-Break,09-03-2018,600,432,0,No,X,L,Y,WW,YY1,ZZ2,D
Sem-Break,09-03-2018,546,472,1,No,O,Y,Y,YY,YY1,ZZ2,D
Sem-Break,09-03-2018,698,429,2,No,M,O,O,ZZ,WW1,WW2,D
Sem-Break,09-03-2018,526,423,3,No,M,M,X,YY,XX1,WW2,D
Regular,07-07-2017,574,408,0,No,X,W,X,YY,ZZ1,XX2,B
Regular,07-07-2017,525,501,1,Yes,Z,X,N,YY,ZZ1,YY2,B
Regular,07-07-2017,639,414,2,No,O,N,M,MM,MM1,WW2,B
Regular,07-07-2017,677,591,3,No,M,Y,O,WW,LL1,ZZ2,B
Regular,07-07-2017,576,448,0,No,N,X,X,LL,WW1,ZZ2,L
Regular,07-07-2017,693,402,1,No,N,Z,Z,MM,WW1,YY2,L
Regular,07-07-2017,603,459,2,No,X,Y,Y,MM,ZZ1,WW2,L
Regular,07-07-2017,506,467,3,No,Y,W,X,YY,LL1,MM2,L
Regular,07-07-2017,505,472,0,No,L,M,Z,WW,YY1,MM2,D
Regular,07-07-2017,648,425,1,No,Y,Y,O,MM,ZZ1,LL2,D
Regular,07-07-2017,661,427,2,No,X,L,W,WW,ZZ1,WW2,D
Regular,07-07-2017,543,466,3,No,L,M,N,XX,XX1,XX2,D
Regular,29-04-2017,593,448,0,No,O,M,M,MM,ZZ1,WW2,B
Regular,29-04-2017,610,458,1,No,O,L,Y,YY,ZZ1,MM2,B
Regular,29-04-2017,515,473,2,No,Y,Y,L,YY,LL1,MM2,B
Regular,29-04-2017,508,514,3,Yes,M,N,W,MM,ZZ1,LL2,B
Regular,29-04-2017,573,526,0,No,Y,N,N,XX,WW1,WW2,L
Regular,29-04-2017,604,596,1,No,M,N,Y,WW,ZZ1,WW2,L
Regular,29-04-2017,565,428,2,No,W,W,L,MM,ZZ1,LL2,L
Regular,29-04-2017,564,451,3,No,M,L,X,LL,XX1,LL2,L
Regular,29-04-2017,627,581,0,No,N,L,O,YY,LL1,XX2,D
Regular,29-04-2017,582,489,1,No,Y,M,W,XX,YY1,XX2,D
Regular,29-04-2017,657,458,2,No,Y,Y,Z,LL,LL1,YY2,D
Regular,29-04-2017,695,579,3,Yes,O,L,Z,XX,WW1,LL2,D
Regular,28-07-2017,502,437,0,No,L,Z,L,ZZ,LL1,YY2,B
Regular,28-07-2017,672,439,1,No,N,L,O,YY,WW1,XX2,B
Regular,28-07-2017,668,542,2,No,O,N,N,YY,XX1,ZZ2,B
Regular,28-07-2017,565,599,3,Yes,X,N,Z,LL,WW1,ZZ2,B
Regular,28-07-2017,697,478,0,No,M,W,Z,ZZ,MM1,MM2,L
Regular,28-07-2017,513,549,1,No,W,L,W,XX,YY1,XX2,L
Regular,28-07-2017,507,564,2,Yes,Z,N,N,YY,WW1,WW2,L
Regular,28-07-2017,658,531,3,No,M,W,Z,YY,LL1,WW2,L
Regular,28-07-2017,542,421,0,No,Z,X,W,WW,MM1,ZZ2,D
Regular,28-07-2017,663,469,1,No,Z,Y,N,ZZ,YY1,YY2,D
Regular,28-07-2017,598,412,2,No,X,O,Z,WW,MM1,ZZ2,D
Regular,28-07-2017,690,593,3,Yes,L,L,X,XX,YY1,ZZ2,D
Sem-Break,20-09-2017,609,501,0,No,W,L,O,YY,LL1,ZZ2,B
Sem-Break,20-09-2017,500,467,1,No,W,M,W,YY,WW1,WW2,B
Sem-Break,20-09-2017,639,590,2,No,W,Y,O,XX,YY1,YY2,B
Sem-Break,20-09-2017,611,498,3,Yes,O,O,Y,WW,WW1,ZZ2,B
Sem-Break,20-09-2017,662,475,0,No,O,X,Z,MM,WW1,XX2,L
Sem-Break,20-09-2017,539,514,1,No,Y,M,Z,WW,YY1,MM2,L
Sem-Break,20-09-2017,502,456,2,Yes,M,M,M,LL,YY1,LL2,L
Sem-Break,20-09-2017,629,525,3,No,Z,O,Z,MM,ZZ1,WW2,L
Sem-Break,20-09-2017,519,588,0,No,O,Y,Z,LL,ZZ1,WW2,D
Sem-Break,20-09-2017,685,521,1,No,Z,X,N,MM,WW1,ZZ2,D
Sem-Break,20-09-2017,519,560,2,No,L,N,W,YY,ZZ1,ZZ2,D
Sem-Break,20-09-2017,673,521,3,No,X,M,Z,YY,LL1,ZZ2,D
Regular,01-12-2017,550,475,0,No,L,O,N,LL,LL1,XX2,B
Regular,01-12-2017,663,429,1,No,O,X,M,XX,WW1,LL2,B
Regular,01-12-2017,670,517,2,No,N,N,L,WW,YY1,ZZ2,B
Regular,01-12-2017,538,568,3,No,W,O,X,ZZ,LL1,WW2,B
Regular,01-12-2017,639,475,0,No,W,W,L,ZZ,MM1,ZZ2,L
Regular,01-12-2017,693,427,1,No,O,Y,O,MM,MM1,XX2,L
Regular,01-12-2017,601,542,2,No,N,X,Z,YY,WW1,WW2,L
Regular,01-12-2017,508,466,3,Yes,Z,M,L,XX,WW1,ZZ2,L
Regular,01-12-2017,558,464,0,No,X,Z,M,MM,LL1,LL2,D
Regular,01-12-2017,569,508,1,No,W,W,Z,LL,XX1,WW2,D
Regular,01-12-2017,577,431,2,Yes,X,O,W,LL,XX1,LL2,D
Regular,01-12-2017,530,584,3,No,W,L,L,ZZ,LL1,ZZ2,D
Other-Holidays,07-08-2017,688,435,0,No,L,N,O,YY,XX1,ZZ2,B
Other-Holidays,07-08-2017,625,598,1,No,O,X,M,ZZ,XX1,XX2,B
Other-Holidays,07-08-2017,504,578,2,No,L,W,X,ZZ,WW1,ZZ2,B
Other-Holidays,07-08-2017,683,567,3,Yes,Z,N,Y,XX,YY1,ZZ2,B
Other-Holidays,07-08-2017,686,542,0,Yes,L,Y,X,YY,YY1,YY2,L
Other-Holidays,07-08-2017,582,563,1,No,O,O,W,MM,LL1,XX2,L
Other-Holidays,07-08-2017,676,405,2,No,M,M,X,ZZ,ZZ1,YY2,L
Other-Holidays,07-08-2017,501,554,3,No,X,N,Z,WW,ZZ1,WW2,L
Other-Holidays,07-08-2017,676,460,0,No,L,M,O,ZZ,WW1,YY2,D
Other-Holidays,07-08-2017,550,541,1,No,X,X,Z,LL,XX1,LL2,D
Other-Holidays,07-08-2017,542,596,2,No,O,Y,L,YY,MM1,XX2,D
Other-Holidays,07-08-2017,673,520,3,No,O,W,O,YY,LL1,YY2,D
Regular,14-07-2017,627,443,0,No,N,M,Z,XX,LL1,LL2,B
Regular,14-07-2017,631,517,1,Yes,N,W,X,LL,MM1,WW2,B
Regular,14-07-2017,655,578,2,No,O,W,L,MM,LL1,MM2,B
Regular,14-07-2017,519,560,3,No,W,N,O,XX,WW1,ZZ2,B
Regular,14-07-2017,669,549,0,No,Z,L,M,XX,ZZ1,XX2,L
Regular,14-07-2017,653,538,1,No,Z,N,L,XX,MM1,LL2,L
Regular,14-07-2017,517,491,2,No,O,Z,M,LL,ZZ1,WW2,L
Regular,14-07-2017,699,560,3,Yes,Z,L,W,MM,XX1,WW2,L
Regular,14-07-2017,611,518,0,No,L,O,N,LL,MM1,XX2,D
Regular,14-07-2017,501,483,1,No,Y,Z,W,WW,ZZ1,ZZ2,D
Regular,14-07-2017,509,452,2,No,X,O,Z,ZZ,LL1,YY2,D
Regular,14-07-2017,553,510,3,Yes,W,X,O,XX,WW1,MM2,D
Regular,20-05-2017,557,591,0,No,W,X,M,LL,ZZ1,WW2,B
Regular,20-05-2017,608,427,1,No,Z,Z,X,MM,ZZ1,XX2,B
Regular,20-05-2017,618,597,2,No,Y,N,W,ZZ,ZZ1,MM2,B
Regular,20-05-2017,567,555,3,No,N,N,X,ZZ,WW1,YY2,B
Regular,20-05-2017,664,587,0,No,O,M,X,ZZ,MM1,ZZ2,L
Regular,20-05-2017,551,566,1,No,M,X,N,WW,YY1,MM2,L
Regular,20-05-2017,605,427,2,No,M,N,W,XX,XX1,XX2,L
Regular,20-05-2017,642,493,3,No,W,O,O,LL,WW1,LL2,L
Regular,20-05-2017,693,484,0,No,Z,N,O,MM,LL1,WW2,D
Regular,20-05-2017,689,553,1,No,L,X,L,LL,YY1,LL2,D
Regular,20-05-2017,681,465,2,No,N,Z,L,LL,MM1,MM2,D
Regular,20-05-2017,637,585,3,No,L,Z,W,YY,MM1,YY2,D
Other-Holidays,16-06-2017,518,406,0,No,L,X,W,LL,XX1,XX2,B
Other-Holidays,16-06-2017,634,439,1,No,M,Z,X,MM,XX1,YY2,B
Other-Holidays,16-06-2017,673,584,2,No,L,X,O,XX,WW1,XX2,B
Other-Holidays,16-06-2017,513,432,3,No,W,W,X,XX,ZZ1,LL2,B
Other-Holidays,16-06-2017,559,582,0,No,M,N,Z,XX,MM1,LL2,L
Other-Holidays,16-06-2017,565,443,1,No,W,W,W,LL,WW1,WW2,L
Other-Holidays,16-06-2017,509,405,2,No,X,O,O,YY,WW1,LL2,L
Other-Holidays,16-06-2017,519,562,3,Yes,L,M,W,XX,LL1,WW2,L
Other-Holidays,16-06-2017,590,427,0,Yes,Y,N,Y,XX,LL1,YY2,D
Other-Holidays,16-06-2017,671,539,1,No,N,X,M,ZZ,XX1,XX2,D
Other-Holidays,16-06-2017,696,543,2,Yes,L,N,W,XX,MM1,LL2,D
Other-Holidays,16-06-2017,598,449,3,No,X,N,O,LL,YY1,MM2,D
Regular,27-05-2017,549,442,0,No,X,X,Y,MM,LL1,XX2,B
Regular,27-05-2017,656,415,1,Yes,M,M,M,WW,XX1,LL2,B
Regular,27-05-2017,548,594,2,No,O,Y,O,XX,YY1,WW2,B
Regular,27-05-2017,538,507,3,No,O,O,Z,ZZ,YY1,WW2,B
Regular,27-05-2017,674,476,0,Yes,Y,W,X,XX,YY1,YY2,L
Regular,27-05-2017,699,442,1,No,Y,X,X,YY,XX1,YY2,L
Regular,27-05-2017,508,513,2,No,N,N,W,ZZ,YY1,LL2,L
Regular,27-05-2017,660,491,3,Yes,O,L,W,WW,YY1,WW2,L
Regular,27-05-2017,619,409,0,No,N,X,O,YY,WW1,XX2,D
Regular,27-05-2017,646,448,1,No,M,N,X,ZZ,WW1,XX2,D
Regular,27-05-2017,553,537,2,No,M,Z,W,ZZ,YY1,YY2,D
Regular,27-05-2017,669,487,3,No,N,Z,Z,LL,WW1,LL2,D
Fest,26-07-2017,690,501,0,No,M,Y,N,WW,YY1,WW2,B
Fest,26-07-2017,542,474,1,No,W,W,M,XX,WW1,YY2,B
Fest,26-07-2017,612,461,2,No,Y,Z,Z,WW,XX1,LL2,B
Fest,26-07-2017,564,488,3,No,X,L,O,ZZ,ZZ1,LL2,B
Fest,26-07-2017,692,470,0,No,X,Y,L,YY,LL1,LL2,L
Fest,26-07-2017,630,500,1,No,Y,O,X,YY,YY1,LL2,L
Fest,26-07-2017,666,458,2,Yes,M,M,M,WW,WW1,ZZ2,L
Fest,26-07-2017,641,469,3,No,L,Z,N,LL,XX1,LL2,L
Fest,26-07-2017,525,462,0,No,W,W,Y,ZZ,MM1,YY2,D
Fest,26-07-2017,519,515,1,No,M,Y,Z,YY,LL1,XX2,D
Fest,26-07-2017,573,498,2,No,Z,Z,O,ZZ,WW1,XX2,D
Fest,26-07-2017,615,584,3,No,M,W,Z,MM,WW1,ZZ2,D
Regular,16-08-2017,686,508,0,Yes,L,N,W,ZZ,WW1,WW2,B
Regular,16-08-2017,649,514,1,No,W,N,W,MM,YY1,XX2,B
Regular,16-08-2017,628,556,2,No,W,W,Z,WW,XX1,XX2,B
Regular,16-08-2017,518,481,3,No,Z,N,Z,WW,MM1,XX2,B
Regular,16-08-2017,561,551,0,No,M,Y,Z,WW,LL1,YY2,L
Regular,16-08-2017,694,465,1,No,L,O,X,MM,LL1,MM2,L
Regular,16-08-2017,595,481,2,No,L,W,Y,YY,YY1,YY2,L
Regular,16-08-2017,627,426,3,Yes,X,M,N,XX,MM1,XX2,L
Regular,16-08-2017,615,528,0,No,Y,M,X,XX,XX1,XX2,D
Regular,16-08-2017,688,493,1,No,M,M,N,LL,LL1,MM2,D
Regular,16-08-2017,572,438,2,No,Y,Z,W,ZZ,LL1,WW2,D
Regular,16-08-2017,606,446,3,No,Z,O,O,LL,WW1,ZZ2,D
Sem-Break,06-08-2017,510,555,0,No,L,W,Z,YY,YY1,MM2,B
Sem-Break,06-08-2017,649,535,1,No,O,X,L,LL,XX1,YY2,B
Sem-Break,06-08-2017,634,425,2,No,X,W,Y,ZZ,XX1,WW2,B
Sem-Break,06-08-2017,596,483,3,No,O,L,N,ZZ,YY1,ZZ2,B
Sem-Break,06-08-2017,580,576,0,No,X,Y,N,LL,MM1,ZZ2,L
Sem-Break,06-08-2017,627,579,1,No,N,M,W,YY,WW1,MM2,L
Sem-Break,06-08-2017,561,481,2,No,Y,Z,W,MM,XX1,XX2,L
Sem-Break,06-08-2017,512,504,3,No,X,N,O,YY,WW1,LL2,L
Sem-Break,06-08-2017,624,413,0,No,N,X,N,XX,XX1,WW2,D
Sem-Break,06-08-2017,698,434,1,No,M,L,N,LL,LL1,XX2,D
Sem-Break,06-08-2017,555,554,2,No,Z,O,X,YY,WW1,XX2,D
Sem-Break,06-08-2017,662,578,3,No,O,Y,L,ZZ,ZZ1,WW2,D
Exam,02-07-2017,668,437,0,No,X,W,L,LL,XX1,ZZ2,B
Exam,02-07-2017,581,575,1,No,Z,L,Y,LL,MM1,XX2,B
Exam,02-07-2017,594,509,2,No,M,N,W,MM,YY1,ZZ2,B
Exam,02-07-2017,584,556,3,No,M,L,M,XX,WW1,ZZ2,B
Exam,02-07-2017,689,574,0,No,M,N,N,WW,XX1,LL2,L
Exam,02-07-2017,546,494,1,No,X,W,L,WW,LL1,MM2,L
Exam,02-07-2017,600,501,2,No,L,L,O,ZZ,YY1,XX2,L
Exam,02-07-2017,697,582,3,No,Y,L,O,WW,LL1,WW2,L
Exam,02-07-2017,547,482,0,No,L,L,X,MM,YY1,WW2,D
Exam,02-07-2017,587,562,1,No,N,N,X,XX,MM1,WW2,D
Exam,02-07-2017,576,593,2,No,N,Y,L,MM,XX1,MM2,D
Exam,02-07-2017,630,446,3,No,W,O,N,MM,LL1,ZZ2,D
Other-Holidays,26-06-2017,643,458,0,No,L,X,Y,WW,XX1,ZZ2,B
Other-Holidays,26-06-2017,517,530,1,No,Y,O,Y,ZZ,ZZ1,LL2,B
Other-Holidays,26-06-2017,599,441,2,No,Z,X,W,YY,WW1,ZZ2,B
Other-Holidays,26-06-2017,571,500,3,No,O,Y,L,YY,WW1,LL2,B
Other-Holidays,26-06-2017,556,520,0,No,Z,X,L,MM,LL1,YY2,L
Other-Holidays,26-06-2017,537,490,1,No,W,N,O,LL,YY1,LL2,L
Other-Holidays,26-06-2017,599,554,2,Yes,O,Y,O,YY,LL1,ZZ2,L
Other-Holidays,26-06-2017,618,486,3,No,M,W,O,YY,XX1,YY2,L
Other-Holidays,26-06-2017,629,512,0,No,L,Y,W,ZZ,LL1,WW2,D
Other-Holidays,26-06-2017,543,527,1,No,M,L,Y,YY,XX1,LL2,D
Other-Holidays,26-06-2017,592,502,2,No,W,W,X,XX,XX1,MM2,D
Other-Holidays,26-06-2017,570,486,3,Yes,L,Y,L,ZZ,WW1,LL2,D
Regular,06-01-2018,653,406,0,No,N,Y,X,MM,WW1,WW2,B
Regular,06-01-2018,561,460,1,No,M,W,L,XX,YY1,LL2,B
Regular,06-01-2018,593,479,2,No,W,O,M,LL,XX1,XX2,B
Regular,06-01-2018,592,458,3,No,Z,Y,Y,ZZ,ZZ1,MM2,B
Regular,06-01-2018,643,477,0,No,X,M,Z,YY,ZZ1,MM2,L
Regular,06-01-2018,592,527,1,Yes,X,N,O,XX,ZZ1,MM2,L
Regular,06-01-2018,599,506,2,No,X,M,X,XX,YY1,YY2,L
Regular,06-01-2018,604,469,3,Yes,Z,Z,N,ZZ,XX1,XX2,L
Regular,06-01-2018,629,466,0,No,X,M,X,YY,WW1,MM2,D
Regular,06-01-2018,614,441,1,No,W,X,Y,LL,LL1,YY2,D
Regular,06-01-2018,566,585,2,No,N,M,M,MM,WW1,ZZ2,D
Regular,06-01-2018,692,520,3,No,L,M,Z,MM,YY1,XX2,D
Exam,25-03-2017,692,529,0,No,X,M,Y,YY,XX1,LL2,B
Exam,25-03-2017,536,518,1,No,N,L,Y,YY,YY1,YY2,B
Exam,25-03-2017,520,444,2,No,N,W,Y,ZZ,YY1,LL2,B
Exam,25-03-2017,516,523,3,No,M,L,M,XX,MM1,LL2,B
Exam,25-03-2017,700,585,0,No,X,Z,Y,LL,XX1,WW2,L
Exam,25-03-2017,550,568,1,No,Y,W,O,MM,ZZ1,XX2,L
Exam,25-03-2017,692,456,2,No,X,Z,M,XX,MM1,WW2,L
Exam,25-03-2017,505,522,3,No,O,Z,N,ZZ,WW1,YY2,L
Exam,25-03-2017,501,588,0,No,N,O,O,MM,LL1,MM2,D
Exam,25-03-2017,671,496,1,No,X,Y,X,ZZ,WW1,ZZ2,D
Exam,25-03-2017,573,569,2,No,Y,Y,M,ZZ,MM1,MM2,D
Exam,25-03-2017,568,570,3,No,X,X,M,WW,XX1,YY2,D
Sem-Break,11-09-2017,532,468,0,No,L,M,Z,MM,WW1,LL2,B
Sem-Break,11-09-2017,602,413,1,Yes,M,M,L,WW,ZZ1,WW2,B
Sem-Break,11-09-2017,584,545,2,No,O,X,O,MM,MM1,XX2,B
Sem-Break,11-09-2017,564,468,3,No,M,M,Y,LL,ZZ1,ZZ2,B
Sem-Break,11-09-2017,674,451,0,No,Z,W,X,ZZ,WW1,YY2,L
Sem-Break,11-09-2017,546,502,1,No,X,O,N,ZZ,WW1,WW2,L
Sem-Break,11-09-2017,685,477,2,No,O,M,Z,MM,WW1,MM2,L
Sem-Break,11-09-2017,694,596,3,No,L,O,M,MM,XX1,LL2,L
Sem-Break,11-09-2017,664,433,0,No,L,Z,O,WW,ZZ1,LL2,D
Sem-Break,11-09-2017,638,527,1,No,Y,N,O,MM,LL1,ZZ2,D
Sem-Break,11-09-2017,572,431,2,No,X,L,X,XX,WW1,MM2,D
Sem-Break,11-09-2017,536,474,3,No,M,X,N,MM,MM1,LL2,D
Regular,02-12-2017,595,555,0,No,X,Z,L,MM,ZZ1,LL2,B
Regular,02-12-2017,691,551,1,Yes,O,N,L,MM,XX1,MM2,B
Regular,02-12-2017,600,423,2,No,W,Y,Z,WW,WW1,ZZ2,B
Regular,02-12-2017,628,485,3,No,L,X,X,WW,MM1,MM2,B
Regular,02-12-2017,602,576,0,No,Y,O,O,MM,YY1,WW2,L
Regular,02-12-2017,515,461,1,No,M,Z,W,MM,WW1,ZZ2,L
Regular,02-12-2017,646,557,2,Yes,O,M,W,WW,MM1,XX2,L
Regular,02-12-2017,585,471,3,No,O,L,X,WW,LL1,XX2,L
Regular,02-12-2017,553,544,0,No,W,N,Y,LL,ZZ1,XX2,D
Regular,02-12-2017,644,552,1,No,Z,X,N,ZZ,XX1,WW2,D
Regular,02-12-2017,589,550,2,No,X,Y,Y,ZZ,YY1,YY2,D
Regular,02-12-2017,631,551,3,Yes,N,Y,O,MM,YY1,XX2,D
Regular,14-03-2018,590,510,0,No,Z,L,Z,MM,MM1,ZZ2,B
Regular,14-03-2018,694,479,1,Yes,W,O,Y,YY,XX1,ZZ2,B
Regular,14-03-2018,541,464,2,Yes,Z,L,N,ZZ,ZZ1,ZZ2,B
Regular,14-03-2018,549,422,3,No,N,M,L,WW,YY1,WW2,B
Regular,14-03-2018,614,468,0,No,N,M,O,MM,ZZ1,MM2,L
Regular,14-03-2018,586,418,1,Yes,L,N,Y,MM,YY1,YY2,L
Regular,14-03-2018,555,492,2,No,M,Y,Y,ZZ,WW1,YY2,L
Regular,14-03-2018,688,523,3,No,W,Z,Y,WW,YY1,WW2,L
Regular,14-03-2018,649,423,0,No,Y,Z,Y,WW,YY1,MM2,D
Regular,14-03-2018,697,458,1,No,W,Z,W,LL,LL1,XX2,D
Regular,14-03-2018,594,516,2,No,N,Y,N,WW,YY1,ZZ2,D
Regular,14-03-2018,644,596,3,Yes,O,N,M,WW,MM1,YY2,D
Regular,03-01-2018,512,474,0,No,Y,X,N,ZZ,XX1,ZZ2,B
Regular,03-01-2018,676,519,1,No,W,M,W,YY,ZZ1,LL2,B
Regular,03-01-2018,693,520,2,No,Y,M,W,YY,YY1,LL2,B
Regular,03-01-2018,565,523,3,No,X,L,Y,MM,XX1,XX2,B
Regular,03-01-2018,508,514,0,No,X,L,O,LL,LL1,LL2,L
Regular,03-01-2018,566,480,1,No,M,M,O,LL,ZZ1,YY2,L
Regular,03-01-2018,524,583,2,No,N,N,N,LL,ZZ1,MM2,L
Regular,03-01-2018,694,468,3,No,O,Z,X,YY,WW1,LL2,L
Regular,03-01-2018,630,504,0,No,W,O,N,YY,LL1,WW2,D
Regular,03-01-2018,599,474,1,No,Z,Y,X,XX,XX1,YY2,D
Regular,03-01-2018,516,425,2,No,N,O,X,WW,YY1,ZZ2,D
Regular,03-01-2018,528,502,3,No,M,Y,W,XX,XX1,MM2,D
Regular,22-11-2017,561,546,0,No,Y,L,N,MM,ZZ1,LL2,B
Regular,22-11-2017,562,455,1,No,O,Y,X,WW,ZZ1,LL2,B
Regular,22-11-2017,558,520,2,No,O,X,Z,WW,MM1,XX2,B
Regular,22-11-2017,550,435,3,Yes,Z,O,L,WW,XX1,WW2,B
Regular,22-11-2017,543,490,0,Yes,M,X,O,LL,XX1,WW2,L
Regular,22-11-2017,698,480,1,No,M,W,Z,YY,WW1,XX2,L
Regular,22-11-2017,598,453,2,No,N,X,X,WW,ZZ1,YY2,L
Regular,22-11-2017,542,581,3,No,W,Z,L,XX,LL1,ZZ2,L
