Special_Occasion,Date,No_of_Students_in_Hostel,No_of_Actual_Diners,Mess_No,New_Menu,Food_Prepared_By1,Food_Prepared_By2,Food_Prepared_By3,Meal_1,Wastage_1,Meal_2,Wastage_2,Meal_3,Wastage_3,Type_Of_Meal,Total Wastage
Exam,04-09-17,700,553,2,Yes,X,Y,X,XX,294,WW1,441,LL2,588,L,1323
Exam,04-09-17,690,554,3,No,N,O,M,XX,272,MM1,408,LL2,544,L,1224
Exam,04-09-17,506,597,0,No,M,W,Z,MM,0,ZZ1,0,LL2,0,D,0
Exam,04-09-17,656,519,1,No,M,W,L,LL,274,ZZ1,411,YY2,548,D,1233
Exam,04-09-17,591,567,2,No,M,Y,L,ZZ,48,WW1,72,LL2,96,D,216
Exam,04-09-17,602,551,3,No,M,L,X,YY,102,MM1,153,YY2,204,D,459
Regular,09-11-17,656,468,0,No,Y,L,M,MM,376,LL1,564,ZZ2,752,B,1692
Regular,09-11-17,602,481,1,No,Z,W,M,ZZ,242,XX1,363,ZZ2,484,B,1089
Regular,09-11-17,644,492,2,Yes,Z,N,Z,WW,304,MM1,456,WW2,608,B,1368
Regular,09-11-17,544,420,3,Yes,O,Y,N,WW,248,ZZ1,372,LL2,496,B,1116
Regular,09-11-17,620,501,0,No,X,L,N,MM,238,WW1,357,WW2,476,L,1071
Regular,09-11-17,520,496,1,No,Z,X,Y,ZZ,48,MM1,72,LL2,96,L,216
Regular,09-11-17,569,477,2,No,O,W,W,WW,184,YY1,276,LL2,368,L,828
Regular,09-11-17,687,502,3,No,N,X,O,LL,370,XX1,555,LL2,740,L,1665
Regular,09-11-17,642,494,0,No,X,Z,W,LL,296,WW1,444,LL2,592,D,1332
Regular,09-11-17,579,498,1,No,Y,X,N,MM,162,ZZ1,243,MM2,324,D,729
Regular,09-11-17,666,463,2,No,Z,Y,W,XX,406,XX1,609,YY2,812,D,1827
Regular,09-11-17,591,560,3,No,Y,M,M,MM,62,WW1,93,MM2,124,D,279
Regular,17-03-17,568,495,0,No,L,X,N,LL,146,YY1,219,LL2,292,B,657
Regular,17-03-17,671,446,1,No,O,L,Z,ZZ,450,MM1,675,YY2,900,B,2025
Regular,17-03-17,612,481,2,No,Y,Z,L,LL,262,ZZ1,393,XX2,524,B,1179
Regular,17-03-17,682,585,3,No,W,N,M,WW,194,XX1,291,MM2,388,B,873
Regular,17-03-17,632,505,0,No,L,Y,Z,WW,254,MM1,381,YY2,508,L,1143
Regular,17-03-17,677,568,1,No,M,Z,Z,ZZ,218,YY1,327,YY2,436,L,981
Regular,17-03-17,530,414,2,No,O,Z,M,LL,232,WW1,348,XX2,464,L,1044
Regular,17-03-17,599,551,3,No,X,Z,N,MM,96,MM1,144,MM2,192,L,432
Regular,17-03-17,570,524,0,No,X,M,N,MM,92,MM1,138,ZZ2,184,D,414
Regular,17-03-17,653,409,1,No,W,X,X,LL,488,MM1,732,LL2,976,D,2196
Regular,17-03-17,569,588,2,No,M,O,W,XX,0,MM1,0,LL2,0,D,0
Regular,17-03-17,507,535,3,No,M,Y,X,MM,0,WW1,0,YY2,0,D,0
Exam,14-03-18,694,467,0,No,X,X,Y,ZZ,454,MM1,681,ZZ2,908,B,2043
Exam,14-03-18,579,488,1,No,W,Y,O,MM,182,ZZ1,273,LL2,364,B,819
Exam,14-03-18,608,427,2,No,W,X,M,LL,362,WW1,543,LL2,724,B,1629
Exam,14-03-18,510,486,3,No,Y,O,Z,XX,48,WW1,72,WW2,96,B,216
Exam,14-03-18,579,570,0,No,O,Y,L,ZZ,18,ZZ1,27,MM2,36,L,81
Exam,14-03-18,675,571,1,No,X,W,Y,LL,208,LL1,312,MM2,416,L,936
Exam,14-03-18,599,533,2,No,O,Z,N,YY,132,LL1,198,ZZ2,264,L,594
Exam,14-03-18,655,584,3,No,O,M,Y,WW,142,WW1,213,ZZ2,284,L,639
Exam,14-03-18,500,550,0,No,X,L,N,ZZ,0,YY1,0,YY2,0,D,0
Exam,14-03-18,659,433,1,Yes,X,M,M,WW,452,YY1,678,ZZ2,904,D,2034
Exam,14-03-18,657,503,2,No,Z,L,X,XX,308,WW1,462,WW2,616,D,1386
Exam,14-03-18,607,586,3,No,M,X,X,ZZ,42,XX1,63,LL2,84,D,189
Regular,07-06-17,674,600,0,No,X,Z,L,XX,148,YY1,222,LL2,296,B,666
Regular,07-06-17,663,504,1,No,X,M,N,WW,318,YY1,477,WW2,636,B,1431
Regular,07-06-17,551,449,2,No,N,O,Z,MM,204,YY1,306,XX2,408,B,918
Regular,07-06-17,589,464,3,No,X,L,L,XX,250,MM1,375,WW2,500,B,1125
Regular,07-06-17,541,505,0,No,X,W,O,WW,72,ZZ1,108,XX2,144,L,324
Regular,07-06-17,538,568,1,No,L,N,W,YY,0,XX1,0,MM2,0,L,0
Regular,07-06-17,575,428,2,No,L,L,W,LL,294,ZZ1,441,LL2,588,L,1323
Regular,07-06-17,634,492,3,No,L,Z,L,LL,284,XX1,426,YY2,568,L,1278
Regular,07-06-17,573,524,0,Yes,N,Y,Z,WW,98,MM1,147,XX2,196,D,441
Regular,07-06-17,598,444,1,No,Y,N,Y,WW,308,LL1,462,YY2,616,D,1386
Regular,07-06-17,635,583,2,No,L,Z,O,MM,104,ZZ1,156,YY2,208,D,468
Regular,07-06-17,560,517,3,No,W,Z,O,YY,86,WW1,129,LL2,172,D,387
Other_Holidays,29-01-18,592,475,0,No,Y,Y,Y,XX,234,LL1,351,MM2,468,B,1053
Other_Holidays,29-01-18,587,471,1,Yes,M,Z,W,ZZ,232,LL1,348,ZZ2,464,B,1044
Other_Holidays,29-01-18,642,547,2,Yes,O,O,O,WW,190,MM1,285,ZZ2,380,B,855
Other_Holidays,29-01-18,546,416,3,Yes,N,Y,O,LL,260,MM1,390,LL2,520,B,1170
Other_Holidays,29-01-18,555,550,0,No,X,W,L,LL,10,WW1,15,MM2,20,L,45
Other_Holidays,29-01-18,665,518,1,No,M,X,X,XX,294,MM1,441,LL2,588,L,1323
Other_Holidays,29-01-18,693,437,2,No,N,Y,Z,YY,512,XX1,768,LL2,1024,L,2304
Other_Holidays,29-01-18,507,498,3,No,O,W,W,ZZ,18,WW1,27,ZZ2,36,L,81
Other_Holidays,29-01-18,681,536,0,No,Z,O,X,ZZ,290,YY1,435,ZZ2,580,D,1305
Other_Holidays,29-01-18,666,420,1,Yes,Z,W,Y,XX,492,WW1,738,LL2,984,D,2214
Other_Holidays,29-01-18,537,584,2,No,L,X,O,LL,0,MM1,0,XX2,0,D,0
Other_Holidays,29-01-18,594,579,3,No,M,O,Y,WW,30,LL1,45,ZZ2,60,D,135
Fest,24-02-18,696,513,0,No,M,Z,W,YY,366,XX1,549,ZZ2,732,B,1647
Fest,24-02-18,532,424,1,No,Y,Z,N,LL,216,XX1,324,XX2,432,B,972
Fest,24-02-18,609,519,2,No,N,Z,L,YY,180,WW1,270,YY2,360,B,810
Fest,24-02-18,617,454,3,No,Y,Y,X,XX,326,YY1,489,XX2,652,B,1467
Fest,24-02-18,676,452,0,No,L,O,W,YY,448,WW1,672,YY2,896,L,2016
Fest,24-02-18,646,430,1,No,Z,X,N,ZZ,432,WW1,648,XX2,864,L,1944
Fest,24-02-18,561,420,2,No,L,N,L,XX,282,LL1,423,ZZ2,564,L,1269
Fest,24-02-18,672,590,3,No,N,M,O,YY,164,LL1,246,YY2,328,L,738
Fest,24-02-18,638,590,0,No,L,Y,X,ZZ,96,XX1,144,LL2,192,D,432
Fest,24-02-18,641,572,1,No,X,X,X,LL,138,MM1,207,YY2,276,D,621
Fest,24-02-18,584,476,2,Yes,L,N,X,WW,216,XX1,324,LL2,432,D,972
Fest,24-02-18,645,423,3,No,O,Y,L,XX,444,WW1,666,WW2,888,D,1998
Sem_Break,24-04-17,617,476,0,No,M,Z,Z,MM,282,YY1,423,YY2,564,B,1269
Sem_Break,24-04-17,507,504,1,No,Z,O,Y,WW,6,ZZ1,9,YY2,12,B,27
Sem_Break,24-04-17,680,530,2,No,O,O,Y,YY,300,XX1,450,YY2,600,B,1350
Sem_Break,24-04-17,514,498,3,No,W,N,X,WW,32,LL1,48,YY2,64,B,144
Sem_Break,24-04-17,542,590,0,Yes,L,W,M,LL,0,LL1,0,LL2,0,L,0
Sem_Break,24-04-17,699,590,1,No,Z,Y,L,LL,218,MM1,327,WW2,436,L,981
Sem_Break,24-04-17,648,588,2,Yes,X,N,Y,ZZ,120,XX1,180,XX2,240,L,540
Sem_Break,24-04-17,592,489,3,No,L,N,Y,YY,206,LL1,309,WW2,412,L,927
Sem_Break,24-04-17,555,412,0,No,M,O,N,XX,286,WW1,429,ZZ2,572,D,1287
Sem_Break,24-04-17,514,452,1,No,Y,N,W,MM,124,YY1,186,ZZ2,248,D,558
Sem_Break,24-04-17,550,501,2,No,O,X,O,YY,98,LL1,147,MM2,196,D,441
Sem_Break,24-04-17,683,421,3,No,W,X,Y,MM,524,XX1,786,XX2,1048,D,2358
Sem_Break,23-09-17,591,505,0,No,N,N,N,MM,172,WW1,258,XX2,344,B,774
Sem_Break,23-09-17,665,595,1,No,M,O,X,MM,140,ZZ1,210,ZZ2,280,B,630
Sem_Break,23-09-17,670,574,2,No,N,M,X,YY,192,MM1,288,MM2,384,B,864
Sem_Break,23-09-17,575,507,3,No,W,L,Z,YY,136,ZZ1,204,XX2,272,B,612
Sem_Break,23-09-17,535,532,0,No,X,X,L,ZZ,6,LL1,9,LL2,12,L,27
Sem_Break,23-09-17,589,587,1,No,L,N,W,MM,4,WW1,6,XX2,8,L,18
Sem_Break,23-09-17,617,488,2,Yes,Z,L,X,YY,258,MM1,387,WW2,516,L,1161
Sem_Break,23-09-17,592,405,3,No,L,Z,Y,YY,374,ZZ1,561,LL2,748,L,1683
Sem_Break,23-09-17,657,536,0,No,Y,W,X,YY,242,MM1,363,WW2,484,D,1089
Sem_Break,23-09-17,547,409,1,No,Z,Z,X,ZZ,276,LL1,414,YY2,552,D,1242
Sem_Break,23-09-17,656,434,2,No,W,N,Y,YY,444,ZZ1,666,LL2,888,D,1998
Sem_Break,23-09-17,597,508,3,No,N,Z,X,ZZ,178,ZZ1,267,WW2,356,D,801
Regular,25-03-17,544,588,0,No,L,O,Y,XX,0,LL1,0,MM2,0,B,0
Regular,25-03-17,533,452,1,No,O,M,W,ZZ,162,WW1,243,XX2,324,B,729
Regular,25-03-17,593,576,2,No,L,W,N,MM,34,MM1,51,XX2,68,B,153
Regular,25-03-17,632,518,3,No,W,W,W,MM,228,MM1,342,YY2,456,B,1026
Regular,25-03-17,580,490,0,No,N,O,Z,ZZ,180,MM1,270,MM2,360,L,810
Regular,25-03-17,691,571,1,No,W,N,W,LL,240,XX1,360,WW2,480,L,1080
Regular,25-03-17,676,509,2,No,M,Z,W,XX,334,LL1,501,MM2,668,L,1503
Regular,25-03-17,668,587,3,No,Z,Z,N,WW,162,ZZ1,243,YY2,324,L,729
Regular,25-03-17,639,506,0,Yes,M,Y,M,ZZ,266,ZZ1,399,LL2,532,D,1197
Regular,25-03-17,688,476,1,No,Z,X,L,ZZ,424,YY1,636,ZZ2,848,D,1908
Regular,25-03-17,667,533,2,No,L,M,Y,XX,268,YY1,402,XX2,536,D,1206
Regular,25-03-17,673,409,3,No,N,N,M,XX,528,YY1,792,WW2,1056,D,2376
Regular,25-01-18,584,447,0,No,O,X,L,MM,274,WW1,411,ZZ2,548,B,1233
Regular,25-01-18,664,434,1,No,Y,W,N,WW,460,MM1,690,WW2,920,B,2070
Regular,25-01-18,507,428,2,No,X,M,W,LL,158,XX1,237,ZZ2,316,B,711
Regular,25-01-18,651,452,3,No,X,Y,Z,XX,398,MM1,597,XX2,796,B,1791
Regular,25-01-18,662,427,0,No,M,L,M,ZZ,470,LL1,705,MM2,940,L,2115
Regular,25-01-18,570,513,1,No,X,L,L,XX,114,ZZ1,171,WW2,228,L,513
Regular,25-01-18,632,410,2,No,N,Z,L,MM,444,YY1,666,YY2,888,L,1998
Regular,25-01-18,548,521,3,No,Y,O,Y,ZZ,54,XX1,81,WW2,108,L,243
Regular,25-01-18,602,496,0,No,X,X,O,YY,212,MM1,318,LL2,424,D,954
Regular,25-01-18,556,489,1,No,O,W,M,MM,134,MM1,201,XX2,268,D,603
Regular,25-01-18,672,543,2,No,L,W,M,MM,258,WW1,387,MM2,516,D,1161
Regular,25-01-18,585,550,3,No,N,Z,X,YY,70,XX1,105,ZZ2,140,D,315
Regular,01-07-17,568,570,0,Yes,Y,N,N,ZZ,0,YY1,0,LL2,0,B,0
Regular,01-07-17,550,585,1,No,W,O,X,ZZ,0,LL1,0,WW2,0,B,0
Regular,01-07-17,691,523,2,No,L,X,X,MM,336,XX1,504,YY2,672,B,1512
Regular,01-07-17,645,422,3,No,Y,N,M,YY,446,YY1,669,LL2,892,B,2007
Regular,01-07-17,592,463,0,No,X,L,N,WW,258,YY1,387,LL2,516,L,1161
Regular,01-07-17,641,463,1,No,O,Z,W,XX,356,LL1,534,LL2,712,L,1602
Regular,01-07-17,534,430,2,No,Z,X,L,WW,208,LL1,312,MM2,416,L,936
Regular,01-07-17,505,441,3,No,Y,W,W,WW,128,ZZ1,192,ZZ2,256,L,576
Regular,01-07-17,552,473,0,No,X,W,L,ZZ,158,WW1,237,XX2,316,D,711
Regular,01-07-17,632,546,1,No,X,M,Y,WW,172,XX1,258,LL2,344,D,774
Regular,01-07-17,642,465,2,Yes,X,X,O,XX,354,XX1,531,XX2,708,D,1593
Regular,01-07-17,569,581,3,Yes,L,W,Z,XX,0,XX1,0,XX2,0,D,0
Regular,24-08-17,527,566,0,Yes,Z,X,X,WW,0,ZZ1,0,WW2,0,B,0
Regular,24-08-17,505,543,1,No,W,L,M,MM,0,MM1,0,MM2,0,B,0
Regular,24-08-17,590,561,2,No,L,M,N,WW,58,XX1,87,MM2,116,B,261
Regular,24-08-17,600,417,3,Yes,N,L,Z,LL,366,LL1,549,ZZ2,732,B,1647
Regular,24-08-17,663,590,0,No,Y,X,O,ZZ,146,YY1,219,XX2,292,L,657
Regular,24-08-17,593,484,1,Yes,Y,M,L,ZZ,218,LL1,327,MM2,436,L,981
Regular,24-08-17,615,597,2,No,L,Z,Z,LL,36,ZZ1,54,LL2,72,L,162
Regular,24-08-17,611,531,3,Yes,X,L,X,WW,160,LL1,240,XX2,320,L,720
Regular,24-08-17,684,470,0,No,Y,Y,M,MM,428,XX1,642,LL2,856,D,1926
Regular,24-08-17,643,534,1,No,Y,O,W,XX,218,ZZ1,327,XX2,436,D,981
Regular,24-08-17,587,488,2,No,W,Y,M,XX,198,XX1,297,MM2,396,D,891
Regular,24-08-17,588,428,3,No,W,W,L,LL,320,YY1,480,XX2,640,D,1440
Sem_Break,26-11-17,602,451,0,Yes,M,N,M,XX,302,LL1,453,LL2,604,B,1359
Sem_Break,26-11-17,595,559,1,Yes,O,Y,N,LL,72,XX1,108,XX2,144,B,324
Sem_Break,26-11-17,551,482,2,No,M,X,N,WW,138,MM1,207,MM2,276,B,621
Sem_Break,26-11-17,670,488,3,No,M,W,X,XX,364,YY1,546,YY2,728,B,1638
Sem_Break,26-11-17,548,594,0,No,O,W,M,YY,0,YY1,0,MM2,0,L,0
Sem_Break,26-11-17,585,451,1,No,Z,N,X,XX,268,LL1,402,ZZ2,536,L,1206
Sem_Break,26-11-17,638,539,2,Yes,L,X,M,WW,198,MM1,297,YY2,396,L,891
Sem_Break,26-11-17,641,513,3,No,Z,Y,L,YY,256,MM1,384,MM2,512,L,1152
Sem_Break,26-11-17,639,446,0,No,N,M,W,WW,386,YY1,579,XX2,772,D,1737
Sem_Break,26-11-17,629,581,1,No,O,W,M,MM,96,ZZ1,144,YY2,192,D,432
Sem_Break,26-11-17,558,468,2,Yes,X,L,Y,ZZ,180,XX1,270,XX2,360,D,810
Sem_Break,26-11-17,506,411,3,No,N,M,N,LL,190,LL1,285,YY2,380,D,855
Sem_Break,09-03-18,571,499,0,No,Y,X,Y,LL,144,ZZ1,216,WW2,288,B,648
Sem_Break,09-03-18,634,434,1,No,O,W,M,XX,400,XX1,600,YY2,800,B,1800
Sem_Break,09-03-18,696,501,2,No,N,N,Y,YY,390,MM1,585,MM2,780,B,1755
Sem_Break,09-03-18,579,524,3,No,L,X,Y,WW,110,YY1,165,MM2,220,B,495
Sem_Break,09-03-18,543,544,0,Yes,X,Z,X,WW,0,WW1,0,WW2,0,L,0
Sem_Break,09-03-18,619,461,1,No,M,Z,Z,XX,316,MM1,474,XX2,632,L,1422
Sem_Break,09-03-18,601,412,2,No,X,Y,L,YY,378,LL1,567,LL2,756,L,1701
Sem_Break,09-03-18,570,566,3,No,W,L,X,MM,8,WW1,12,LL2,16,L,36
Sem_Break,09-03-18,600,432,0,No,X,L,Y,WW,336,YY1,504,ZZ2,672,D,1512
Sem_Break,09-03-18,546,472,1,No,O,Y,Y,YY,148,YY1,222,ZZ2,296,D,666
Sem_Break,09-03-18,698,429,2,No,M,O,O,ZZ,538,WW1,807,WW2,1076,D,2421
Sem_Break,09-03-18,526,423,3,No,M,M,X,YY,206,XX1,309,WW2,412,D,927
Regular,07-07-17,574,408,0,No,X,W,X,YY,332,ZZ1,498,XX2,664,B,1494
Regular,07-07-17,525,501,1,Yes,Z,X,N,YY,48,ZZ1,72,YY2,96,B,216
Regular,07-07-17,639,414,2,No,O,N,M,MM,450,MM1,675,WW2,900,B,2025
Regular,07-07-17,677,591,3,No,M,Y,O,WW,172,LL1,258,ZZ2,344,B,774
Regular,07-07-17,576,448,0,No,N,X,X,LL,256,WW1,384,ZZ2,512,L,1152
Regular,07-07-17,693,402,1,No,N,Z,Z,MM,582,WW1,873,YY2,1164,L,2619
Regular,07-07-17,603,459,2,No,X,Y,Y,MM,288,ZZ1,432,WW2,576,L,1296
Regular,07-07-17,506,467,3,No,Y,W,X,YY,78,LL1,117,MM2,156,L,351
Regular,07-07-17,505,472,0,No,L,M,Z,WW,66,YY1,99,MM2,132,D,297
Regular,07-07-17,648,425,1,No,Y,Y,O,MM,446,ZZ1,669,LL2,892,D,2007
Regular,07-07-17,661,427,2,No,X,L,W,WW,468,ZZ1,702,WW2,936,D,2106
Regular,07-07-17,543,466,3,No,L,M,N,XX,154,XX1,231,XX2,308,D,693
Regular,29-04-17,593,448,0,No,O,M,M,MM,290,ZZ1,435,WW2,580,B,1305
Regular,29-04-17,610,458,1,No,O,L,Y,YY,304,ZZ1,456,MM2,608,B,1368
Regular,29-04-17,515,473,2,No,Y,Y,L,YY,84,LL1,126,MM2,168,B,378
Regular,29-04-17,508,514,3,Yes,M,N,W,MM,0,ZZ1,0,LL2,0,B,0
Regular,29-04-17,573,526,0,No,Y,N,N,XX,94,WW1,141,WW2,188,L,423
Regular,29-04-17,604,596,1,No,M,N,Y,WW,16,ZZ1,24,WW2,32,L,72
Regular,29-04-17,565,428,2,No,W,W,L,MM,274,ZZ1,411,LL2,548,L,1233
Regular,29-04-17,564,451,3,No,M,L,X,LL,226,XX1,339,LL2,452,L,1017
Regular,29-04-17,627,581,0,No,N,L,O,YY,92,LL1,138,XX2,184,D,414
Regular,29-04-17,582,489,1,No,Y,M,W,XX,186,YY1,279,XX2,372,D,837
Regular,29-04-17,657,458,2,No,Y,Y,Z,LL,398,LL1,597,YY2,796,D,1791
Regular,29-04-17,695,579,3,Yes,O,L,Z,XX,232,WW1,348,LL2,464,D,1044
Regular,28-07-17,502,437,0,No,L,Z,L,ZZ,130,LL1,195,YY2,260,B,585
Regular,28-07-17,672,439,1,No,N,L,O,YY,466,WW1,699,XX2,932,B,2097
Regular,28-07-17,668,542,2,No,O,N,N,YY,252,XX1,378,ZZ2,504,B,1134
Regular,28-07-17,565,599,3,Yes,X,N,Z,LL,0,WW1,0,ZZ2,0,B,0
Regular,28-07-17,697,478,0,No,M,W,Z,ZZ,438,MM1,657,MM2,876,L,1971
Regular,28-07-17,513,549,1,No,W,L,W,XX,0,YY1,0,XX2,0,L,0
Regular,28-07-17,507,564,2,Yes,Z,N,N,YY,0,WW1,0,WW2,0,L,0
Regular,28-07-17,658,531,3,No,M,W,Z,YY,254,LL1,381,WW2,508,L,1143
Regular,28-07-17,542,421,0,No,Z,X,W,WW,242,MM1,363,ZZ2,484,D,1089
Regular,28-07-17,663,469,1,No,Z,Y,N,ZZ,388,YY1,582,YY2,776,D,1746
Regular,28-07-17,598,412,2,No,X,O,Z,WW,372,MM1,558,ZZ2,744,D,1674
Regular,28-07-17,690,593,3,Yes,L,L,X,XX,194,YY1,291,ZZ2,388,D,873
Sem_Break,20-09-17,609,501,0,No,W,L,O,YY,216,LL1,324,ZZ2,432,B,972
Sem_Break,20-09-17,500,467,1,No,W,M,W,YY,66,WW1,99,WW2,132,B,297
Sem_Break,20-09-17,639,590,2,No,W,Y,O,XX,98,YY1,147,YY2,196,B,441
Sem_Break,20-09-17,611,498,3,Yes,O,O,Y,WW,226,WW1,339,ZZ2,452,B,1017
Sem_Break,20-09-17,662,475,0,No,O,X,Z,MM,374,WW1,561,XX2,748,L,1683
Sem_Break,20-09-17,539,514,1,No,Y,M,Z,WW,50,YY1,75,MM2,100,L,225
Sem_Break,20-09-17,502,456,2,Yes,M,M,M,LL,92,YY1,138,LL2,184,L,414
Sem_Break,20-09-17,629,525,3,No,Z,O,Z,MM,208,ZZ1,312,WW2,416,L,936
Sem_Break,20-09-17,519,588,0,No,O,Y,Z,LL,0,ZZ1,0,WW2,0,D,0
Sem_Break,20-09-17,685,521,1,No,Z,X,N,MM,328,WW1,492,ZZ2,656,D,1476
Sem_Break,20-09-17,519,560,2,No,L,N,W,YY,0,ZZ1,0,ZZ2,0,D,0
Sem_Break,20-09-17,673,521,3,No,X,M,Z,YY,304,LL1,456,ZZ2,608,D,1368
Regular,01-12-17,550,475,0,No,L,O,N,LL,150,LL1,225,XX2,300,B,675
Regular,01-12-17,663,429,1,No,O,X,M,XX,468,WW1,702,LL2,936,B,2106
Regular,01-12-17,670,517,2,No,N,N,L,WW,306,YY1,459,ZZ2,612,B,1377
Regular,01-12-17,538,568,3,No,W,O,X,ZZ,0,LL1,0,WW2,0,B,0
Regular,01-12-17,639,475,0,No,W,W,L,ZZ,328,MM1,492,ZZ2,656,L,1476
Regular,01-12-17,693,427,1,No,O,Y,O,MM,532,MM1,798,XX2,1064,L,2394
Regular,01-12-17,601,542,2,No,N,X,Z,YY,118,WW1,177,WW2,236,L,531
Regular,01-12-17,508,466,3,Yes,Z,M,L,XX,84,WW1,126,ZZ2,168,L,378
Regular,01-12-17,558,464,0,No,X,Z,M,MM,188,LL1,282,LL2,376,D,846
Regular,01-12-17,569,508,1,No,W,W,Z,LL,122,XX1,183,WW2,244,D,549
Regular,01-12-17,577,431,2,Yes,X,O,W,LL,292,XX1,438,LL2,584,D,1314
Regular,01-12-17,530,584,3,No,W,L,L,ZZ,0,LL1,0,ZZ2,0,D,0
Other_Holidays,07-08-17,688,435,0,No,L,N,O,YY,506,XX1,759,ZZ2,1012,B,2277
Other_Holidays,07-08-17,625,598,1,No,O,X,M,ZZ,54,XX1,81,XX2,108,B,243
Other_Holidays,07-08-17,504,578,2,No,L,W,X,ZZ,0,WW1,0,ZZ2,0,B,0
Other_Holidays,07-08-17,683,567,3,Yes,Z,N,Y,XX,232,YY1,348,ZZ2,464,B,1044
Other_Holidays,07-08-17,686,542,0,Yes,L,Y,X,YY,288,YY1,432,YY2,576,L,1296
Other_Holidays,07-08-17,582,563,1,No,O,O,W,MM,38,LL1,57,XX2,76,L,171
Other_Holidays,07-08-17,676,405,2,No,M,M,X,ZZ,542,ZZ1,813,YY2,1084,L,2439
Other_Holidays,07-08-17,501,554,3,No,X,N,Z,WW,0,ZZ1,0,WW2,0,L,0
Other_Holidays,07-08-17,676,460,0,No,L,M,O,ZZ,432,WW1,648,YY2,864,D,1944
Other_Holidays,07-08-17,550,541,1,No,X,X,Z,LL,18,XX1,27,LL2,36,D,81
Other_Holidays,07-08-17,542,596,2,No,O,Y,L,YY,0,MM1,0,XX2,0,D,0
Other_Holidays,07-08-17,673,520,3,No,O,W,O,YY,306,LL1,459,YY2,612,D,1377
Regular,14-07-17,627,443,0,No,N,M,Z,XX,368,LL1,552,LL2,736,B,1656
Regular,14-07-17,631,517,1,Yes,N,W,X,LL,228,MM1,342,WW2,456,B,1026
Regular,14-07-17,655,578,2,No,O,W,L,MM,154,LL1,231,MM2,308,B,693
Regular,14-07-17,519,560,3,No,W,N,O,XX,0,WW1,0,ZZ2,0,B,0
Regular,14-07-17,669,549,0,No,Z,L,M,XX,240,ZZ1,360,XX2,480,L,1080
Regular,14-07-17,653,538,1,No,Z,N,L,XX,230,MM1,345,LL2,460,L,1035
Regular,14-07-17,517,491,2,No,O,Z,M,LL,52,ZZ1,78,WW2,104,L,234
Regular,14-07-17,699,560,3,Yes,Z,L,W,MM,278,XX1,417,WW2,556,L,1251
Regular,14-07-17,611,518,0,No,L,O,N,LL,186,MM1,279,XX2,372,D,837
Regular,14-07-17,501,483,1,No,Y,Z,W,WW,36,ZZ1,54,ZZ2,72,D,162
Regular,14-07-17,509,452,2,No,X,O,Z,ZZ,114,LL1,171,YY2,228,D,513
Regular,14-07-17,553,510,3,Yes,W,X,O,XX,86,WW1,129,MM2,172,D,387
Regular,20-05-17,557,591,0,No,W,X,M,LL,0,ZZ1,0,WW2,0,B,0
Regular,20-05-17,608,427,1,No,Z,Z,X,MM,362,ZZ1,543,XX2,724,B,1629
Regular,20-05-17,618,597,2,No,Y,N,W,ZZ,42,ZZ1,63,MM2,84,B,189
Regular,20-05-17,567,555,3,No,N,N,X,ZZ,24,WW1,36,YY2,48,B,108
Regular,20-05-17,664,587,0,No,O,M,X,ZZ,154,MM1,231,ZZ2,308,L,693
Regular,20-05-17,551,566,1,No,M,X,N,WW,0,YY1,0,MM2,0,L,0
Regular,20-05-17,605,427,2,No,M,N,W,XX,356,XX1,534,XX2,712,L,1602
Regular,20-05-17,642,493,3,No,W,O,O,LL,298,WW1,447,LL2,596,L,1341
Regular,20-05-17,693,484,0,No,Z,N,O,MM,418,LL1,627,WW2,836,D,1881
Regular,20-05-17,689,553,1,No,L,X,L,LL,272,YY1,408,LL2,544,D,1224
Regular,20-05-17,681,465,2,No,N,Z,L,LL,432,MM1,648,MM2,864,D,1944
Regular,20-05-17,637,585,3,No,L,Z,W,YY,104,MM1,156,YY2,208,D,468
Other_Holidays,16-06-17,518,406,0,No,L,X,W,LL,224,XX1,336,XX2,448,B,1008
Other_Holidays,16-06-17,634,439,1,No,M,Z,X,MM,390,XX1,585,YY2,780,B,1755
Other_Holidays,16-06-17,673,584,2,No,L,X,O,XX,178,WW1,267,XX2,356,B,801
Other_Holidays,16-06-17,513,432,3,No,W,W,X,XX,162,ZZ1,243,LL2,324,B,729
Other_Holidays,16-06-17,559,582,0,No,M,N,Z,XX,0,MM1,0,LL2,0,L,0
Other_Holidays,16-06-17,565,443,1,No,W,W,W,LL,244,WW1,366,WW2,488,L,1098
Other_Holidays,16-06-17,509,405,2,No,X,O,O,YY,208,WW1,312,LL2,416,L,936
Other_Holidays,16-06-17,519,562,3,Yes,L,M,W,XX,0,LL1,0,WW2,0,L,0
Other_Holidays,16-06-17,590,427,0,Yes,Y,N,Y,XX,326,LL1,489,YY2,652,D,1467
Other_Holidays,16-06-17,671,539,1,No,N,X,M,ZZ,264,XX1,396,XX2,528,D,1188
Other_Holidays,16-06-17,696,543,2,Yes,L,N,W,XX,306,MM1,459,LL2,612,D,1377
Other_Holidays,16-06-17,598,449,3,No,X,N,O,LL,298,YY1,447,MM2,596,D,1341
Regular,27-05-17,549,442,0,No,X,X,Y,MM,214,LL1,321,XX2,428,B,963
Regular,27-05-17,656,415,1,Yes,M,M,M,WW,482,XX1,723,LL2,964,B,2169
